timestamp,pod_name,node_name,phase,event_type,cpu_req,mem_req
2025-04-18T22:09:25.803,pod-87,node-tg96x,Running,update,1012m,805Mi
2025-04-18T22:09:26.517,pod-84,node-tg96x,Running,update,639m,439Mi
2025-04-18T22:09:26.523,pod-84,node-tg96x,Running,update,639m,439Mi
2025-04-18T22:09:26.532,pod-84,node-tg96x,Running,delete,639m,439Mi
2025-04-18T22:09:30.484,pod-89,,Pending,add,821m,282Mi
2025-04-18T22:09:30.484,pod-88,,Pending,add,880m,780Mi
2025-04-18T22:09:30.513,pod-88,node-tg96x,Pending,update,880m,780Mi
2025-04-18T22:09:30.513,pod-89,node-tg96x,Pending,update,821m,282Mi
2025-04-18T22:09:30.548,pod-89,node-tg96x,Running,update,821m,282Mi
2025-04-18T22:09:30.548,pod-88,node-tg96x,Running,update,880m,780Mi
2025-04-18T22:09:30.667,pod-88,node-tg96x,Running,update,880m,780Mi
2025-04-18T22:09:30.685,pod-89,node-tg96x,Running,update,821m,282Mi
2025-04-18T22:09:31.472,pod-90,,Pending,add,992m,238Mi
2025-04-18T22:09:31.499,pod-90,,Pending,update,992m,238Mi
2025-04-18T22:09:31.513,pod-90,,Pending,update,992m,238Mi
2025-04-18T22:09:31.557,pod-89,node-tg96x,Running,update,821m,282Mi
2025-04-18T22:09:31.567,pod-89,node-tg96x,Running,update,821m,282Mi
2025-04-18T22:09:31.571,pod-89,node-tg96x,Running,delete,821m,282Mi
2025-04-18T22:09:33.463,pod-91,,Pending,add,920m,509Mi
2025-04-18T22:09:33.477,pod-91,node-tg96x,Pending,update,920m,509Mi
2025-04-18T22:09:33.485,pod-91,node-tg96x,Running,update,920m,509Mi
2025-04-18T22:09:33.502,pod-91,node-tg96x,Running,update,920m,509Mi
2025-04-18T22:09:34.469,pod-92,,Pending,add,983m,424Mi
2025-04-18T22:09:34.481,pod-92,,Pending,update,983m,424Mi
2025-04-18T22:09:34.493,pod-92,,Pending,update,983m,424Mi
2025-04-18T22:09:35.481,pod-94,,Pending,add,727m,328Mi
2025-04-18T22:09:35.485,pod-93,,Pending,add,1404m,1127Mi
2025-04-18T22:09:35.498,pod-94,,Pending,update,727m,328Mi
2025-04-18T22:09:35.507,pod-93,,Pending,update,1404m,1127Mi
2025-04-18T22:09:35.514,pod-94,,Pending,update,727m,328Mi
2025-04-18T22:09:35.530,pod-93,,Pending,update,1404m,1127Mi
2025-04-18T22:09:35.690,pod-87,node-tg96x,Running,update,1012m,805Mi
2025-04-18T22:09:35.695,pod-87,node-tg96x,Running,update,1012m,805Mi
2025-04-18T22:09:35.699,pod-87,node-tg96x,Running,delete,1012m,805Mi
2025-04-18T22:09:35.713,pod-90,node-tg96x,Pending,update,992m,238Mi
2025-04-18T22:09:35.722,pod-90,node-tg96x,Running,update,992m,238Mi
2025-04-18T22:09:35.733,pod-90,node-tg96x,Running,update,992m,238Mi
2025-04-18T22:09:36.468,pod-95,,Pending,add,1345m,59Mi
2025-04-18T22:09:36.471,pod-96,,Pending,add,886m,205Mi
2025-04-18T22:09:36.483,pod-95,,Pending,update,1345m,59Mi
2025-04-18T22:09:36.491,pod-96,,Pending,update,886m,205Mi
2025-04-18T22:09:36.511,pod-95,,Pending,update,1345m,59Mi
2025-04-18T22:09:36.723,pod-96,,Pending,update,886m,205Mi
2025-04-18T22:09:38.735,pod-90,node-tg96x,Running,update,992m,238Mi
2025-04-18T22:09:38.752,pod-90,node-tg96x,Running,update,992m,238Mi
2025-04-18T22:09:38.764,pod-90,node-tg96x,Running,delete,992m,238Mi
2025-04-18T22:09:38.772,pod-92,node-tg96x,Pending,update,983m,424Mi
2025-04-18T22:09:38.781,pod-92,node-tg96x,Running,update,983m,424Mi
2025-04-18T22:09:38.791,pod-92,node-tg96x,Running,update,983m,424Mi
2025-04-18T22:09:41.513,pod-86,node-vkqxp,Running,update,1242m,822Mi
2025-04-18T22:09:41.518,pod-85,node-tg96x,Running,update,1159m,454Mi
2025-04-18T22:09:41.518,pod-86,node-vkqxp,Running,update,1242m,822Mi
2025-04-18T22:09:41.529,pod-86,node-vkqxp,Running,delete,1242m,822Mi
2025-04-18T22:09:41.539,pod-85,node-tg96x,Running,update,1159m,454Mi
2025-04-18T22:09:41.548,pod-85,node-tg96x,Running,delete,1159m,454Mi
2025-04-18T22:09:43.460,pod-97,,Pending,add,431m,211Mi
2025-04-18T22:09:43.472,pod-97,node-vkqxp,Pending,update,431m,211Mi
2025-04-18T22:09:43.485,pod-97,node-vkqxp,Running,update,431m,211Mi
2025-04-18T22:09:43.493,pod-97,node-vkqxp,Running,update,431m,211Mi
2025-04-18T22:09:43.933,pod-94,node-vkqxp,Pending,update,727m,328Mi
2025-04-18T22:09:43.943,pod-94,node-vkqxp,Running,update,727m,328Mi
2025-04-18T22:09:44.073,pod-94,node-vkqxp,Running,update,727m,328Mi
2025-04-18T22:09:44.462,pod-98,,Pending,add,699m,672Mi
2025-04-18T22:09:44.478,pod-98,node-tg96x,Pending,update,699m,672Mi
2025-04-18T22:09:44.483,pod-98,node-tg96x,Running,update,699m,672Mi
2025-04-18T22:09:44.500,pod-98,node-tg96x,Running,update,699m,672Mi
2025-04-18T22:09:45.511,pod-81,node-vkqxp,Running,update,698m,87Mi
2025-04-18T22:09:45.525,pod-81,node-vkqxp,Running,update,698m,87Mi
2025-04-18T22:09:45.532,pod-81,node-vkqxp,Running,delete,698m,87Mi
2025-04-18T22:09:45.932,pod-96,node-vkqxp,Pending,update,886m,205Mi
2025-04-18T22:09:45.939,pod-96,node-vkqxp,Running,update,886m,205Mi
2025-04-18T22:09:45.972,pod-96,node-vkqxp,Running,update,886m,205Mi
2025-04-18T22:09:47.963,pod-94,node-vkqxp,Running,update,727m,328Mi
2025-04-18T22:09:47.976,pod-94,node-vkqxp,Running,update,727m,328Mi
2025-04-18T22:09:47.978,pod-94,node-vkqxp,Running,delete,727m,328Mi
2025-04-18T22:09:49.560,pod-88,node-tg96x,Running,update,880m,780Mi
2025-04-18T22:09:49.573,pod-88,node-tg96x,Running,update,880m,780Mi
2025-04-18T22:09:49.578,pod-88,node-tg96x,Running,delete,880m,780Mi
2025-04-18T22:09:52.464,pod-97,node-vkqxp,Running,update,431m,211Mi
2025-04-18T22:09:52.477,pod-99,,Pending,add,529m,219Mi
2025-04-18T22:09:52.483,pod-97,node-vkqxp,Running,update,431m,211Mi
2025-04-18T22:09:52.491,pod-97,node-vkqxp,Running,delete,431m,211Mi
2025-04-18T22:09:52.492,pod-99,node-tg96x,Pending,update,529m,219Mi
2025-04-18T22:09:52.498,pod-99,node-tg96x,Running,update,529m,219Mi
2025-04-18T22:09:52.515,pod-99,node-tg96x,Running,update,529m,219Mi
2025-04-18T22:09:52.915,pod-73,node-vkqxp,Running,update,1354m,951Mi
2025-04-18T22:09:52.933,pod-73,node-vkqxp,Running,update,1354m,951Mi
2025-04-18T22:09:52.937,pod-93,node-vkqxp,Pending,update,1404m,1127Mi
